,logFC,logCPM,F,PValue,FDR
WBGene00013344,-0.046406174,3.810334916,0.31705245,0.580651973,0.79071682
WBGene00013345,-0.005066727,3.434160128,0.00182604,0.96640724,0.987923432
WBGene00013347,-0.057941386,4.560076145,0.165383821,0.689263643,0.852942423
WBGene00013348,-0.348462597,2.017332364,2.284889494,0.148796646,0.386545153
WBGene00013349,0.064150508,0.667175537,0.020519945,0.887759485,0.952584446
WBGene00013350,-0.170994356,1.676608064,0.558756791,0.464860457,0.710403643
WBGene00013352,-0.658659891,2.353906748,10.0896971,0.005458892,0.039954676
WBGene00013353,-0.299753145,3.251243937,4.727293906,0.0439279,0.178259204
WBGene00013354,0.103991117,5.143407344,1.64986724,0.216010399,0.477125851
WBGene00013355,-0.083534349,5.841442965,1.77577421,0.200057195,0.457291619
WBGene00013358,-0.196407135,4.983545823,5.990426793,0.025401567,0.123654519
WBGene00013359,0.07381477,4.073488105,0.308893494,0.585518585,0.793342631
WBGene00013360,0.32590792,5.02061939,18.12393184,0.000519463,0.006461338
WBGene00013361,-0.069074166,3.582757036,0.321863579,0.577821137,0.788937622
WBGene00013362,-0.030882715,2.574124574,0.013304606,0.909507298,0.963384455
WBGene00013365,0.082495327,4.065796354,0.987204828,0.334201475,0.6012141
WBGene00013366,0.227221895,2.208449204,2.506202683,0.131614292,0.35887778
WBGene00013376,-0.167219707,3.220930934,2.850162153,0.109414028,0.321628415
WBGene00013378,0.045003517,6.004363386,0.38963983,0.5406816,0.764220984
WBGene00013379,0.480129948,6.327400648,18.39374904,0.000485111,0.006092048
WBGene00013380,0.073091536,1.250753714,0.071115429,0.792890805,0.90848937
WBGene00013381,-0.194780913,-0.277793985,0.147658736,0.705492773,0.860640357
WBGene00013382,0.072764026,5.527735054,0.849333305,0.369489501,0.632259016
WBGene00013383,0.140236416,2.442119194,0.584384494,0.454960808,0.702470687
WBGene00013385,0.167720794,1.479029847,1.041853731,0.355176091,0.618856203
WBGene00013387,0.51025102,2.13624715,2.417053551,0.138229714,0.369053981
WBGene00013388,-0.756056791,1.228718069,5.446431673,0.031987638,0.144909301
WBGene00013389,-0.60639912,0.570052083,5.803045976,0.027477414,0.130901603
WBGene00013398,0.513844538,0.528719242,3.11256412,0.095444042,0.296313238
WBGene00013399,0.307620432,0.499420679,1.299334139,0.269962413,0.538068393
WBGene00013401,0.133397436,1.140090665,0.309811854,0.584966587,0.793015508
WBGene00013402,-0.659716226,0.323261919,3.839554726,0.066470236,0.234376315
WBGene00013403,-0.059620421,0.016001257,0.038101993,0.847526033,0.933217378
WBGene00013405,0.132587212,2.013156771,0.546434483,0.469748378,0.714183119
WBGene00013406,-0.065107877,4.32665365,0.394723201,0.538081974,0.762673506
WBGene00013407,0.134400262,3.878357173,1.20134246,0.28816543,0.55674688
WBGene00013415,-0.028732847,6.114343215,0.120271224,0.732947802,0.876537345
WBGene00013416,-0.18005269,5.115910645,4.048237587,0.060152812,0.218699085
WBGene00013417,-0.100317436,0.601216259,0.174965893,0.680912397,0.849851128
WBGene00013418,-0.804768906,2.289650016,12.54045447,0.002472126,0.021992661
WBGene00013419,-0.154952275,0.518886766,0.337542225,0.568787834,0.783478709
WBGene00013422,-0.077195876,2.217273317,0.144440856,0.708558337,0.862655822
WBGene00013424,1.753209932,-0.641850103,11.52342335,0.00340197,0.02794861
WBGene00013425,-0.010513775,3.035986601,0.007144141,0.933616743,0.974571334
WBGene00013426,-0.08325934,1.123625368,0.134370819,0.718413564,0.868907475
WBGene00013431,-0.024829774,1.555281948,0.013994519,0.907201955,0.962325051
WBGene00013433,0.268998051,2.080390659,3.095673554,0.096276904,0.297620498
WBGene00013434,0.063204181,4.017421285,0.249534858,0.623733167,0.818243963
WBGene00013435,-0.185615714,3.899535123,3.489198902,0.07890651,0.262983934
WBGene00013436,0.070721303,3.679966479,0.263853116,0.614021631,0.811453719
WBGene00013438,0.163988566,5.114693117,1.544121352,0.230682406,0.494241488
WBGene00013439,0.922837085,3.910026591,56.80998386,7.56E-07,3.21E-05
WBGene00013440,0.268191256,5.181258316,10.01514953,0.005599196,0.040717288
WBGene00013441,0.06972442,4.717840234,0.653487243,0.429909941,0.683944978
WBGene00013442,0.103489865,0.028381842,0.085184073,0.773882684,0.898214629
WBGene00013443,-0.094435818,3.024197774,0.362506232,0.554973311,0.773466039
WBGene00013445,0.099251485,2.803676347,0.322398896,0.577507908,0.788658556
WBGene00013446,0.148695793,2.332208314,1.445952724,0.245473727,0.511255183
WBGene00013447,-0.233534437,3.452883895,2.619507332,0.123749512,0.346109561
WBGene00013448,-0.019107148,4.675991939,0.02862729,0.867616637,0.943319102
WBGene00013453,0.318987665,0.85874967,1.096034963,0.309629715,0.576937104
