,logFC,logCPM,F,PValue,FDR
WBGene00004408,-0.022970975,12.13403028,0.041362591,0.841226606,0.929419671
WBGene00004409,-0.100647886,10.50075583,0.745533086,0.399776261,0.65828401
WBGene00004410,-0.253027451,7.90052067,6.127893145,0.023992299,0.118911216
WBGene00004411,0.002003381,6.752740774,0.00047996,0.982773529,0.994392416
WBGene00004412,-0.117986849,11.1706593,1.441825588,0.246122225,0.511589685
WBGene00004413,-0.050993394,10.86419412,0.151075616,0.702279572,0.85921786
WBGene00004414,-0.155243814,12.47724766,1.869162009,0.189176471,0.441970887
WBGene00004415,-0.113097636,12.31473818,0.930035158,0.348219692,0.61257584
WBGene00004416,-0.028288919,11.61565289,0.049026261,0.827374114,0.923085037
WBGene00004417,-0.143166453,10.86724342,1.783825673,0.199088593,0.455868524
WBGene00004418,-0.198304508,11.40116187,4.055733511,0.059939227,0.218305927
WBGene00004419,-0.000115259,9.871383385,4.39E-07,0.999479192,0.999807117
WBGene00004420,0.035060757,10.54831722,0.129373173,0.72346164,0.872246762
WBGene00004421,-0.181483258,11.66809198,4.917320301,0.040336594,0.168797567
WBGene00004422,-0.189333245,6.455424175,2.604553658,0.124754399,0.347881614
WBGene00004423,-0.110890635,10.93508776,0.99840051,0.331550262,0.59955408
WBGene00004424,-0.077974752,10.11853642,0.462529959,0.505496849,0.740264787
WBGene00004425,-0.123182899,11.21269209,1.375057649,0.256932233,0.524874813
WBGene00004426,-0.227588867,8.944879116,5.675361581,0.02900304,0.136119155
WBGene00004427,-0.147926561,11.14171068,1.950708061,0.180275674,0.429696557
WBGene00004428,-0.092607605,10.98331175,0.708395187,0.411528428,0.667921377
WBGene00004429,-0.128154485,10.8305264,1.473691713,0.241172383,0.507121924
WBGene00004430,-0.045709226,10.31417555,0.109525651,0.744682964,0.882541866
WBGene00004431,-0.108041051,11.01366227,1.100111245,0.308758814,0.57609537
WBGene00004432,-0.1240487,10.89588859,0.886646051,0.3594277,0.622837955
WBGene00004433,-0.13314553,11.00441265,1.433963819,0.247363749,0.512714491
WBGene00004434,-0.15733564,9.913781891,2.803320815,0.112157259,0.326251102
WBGene00004435,-0.126863898,11.04945038,2.033458952,0.17177016,0.419567363
WBGene00004436,-0.167958833,9.954000638,1.433918408,0.247370944,0.512714491
WBGene00004437,-0.101822827,8.328963832,1.324934549,0.265461247,0.534015796
WBGene00004438,-0.070054023,9.486611085,0.303590193,0.588727604,0.79573218
WBGene00004439,-0.204235626,9.001257033,3.397145635,0.082613904,0.270868937
WBGene00004440,-0.0841089,10.31955058,0.672112844,0.423533121,0.677840088
WBGene00004441,-0.189223297,10.55032176,4.315823042,0.05304582,0.201928033
WBGene00004442,-0.055635631,9.670035265,0.322945591,0.577188379,0.788606335
WBGene00004443,-0.151722986,8.503261597,1.961457772,0.179141649,0.428049592
WBGene00004444,-0.116745851,9.012065776,1.160653355,0.296210693,0.564307264
WBGene00004445,-0.23650822,9.859888456,3.165901031,0.092869467,0.291283563
WBGene00004446,-0.119188707,10.57429385,1.232752665,0.282155845,0.550040692
WBGene00004447,-0.132903522,9.611033388,1.779235102,0.199640118,0.456770538
WBGene00004448,-0.113477199,9.540564622,1.009739944,0.328895119,0.596912719
WBGene00004449,-0.135545388,10.61956475,1.637441993,0.217671164,0.478460566
WBGene00004450,-0.110786519,10.47974912,1.372921812,0.257288231,0.525453924
WBGene00004451,-0.058115444,8.386622761,0.288249161,0.598222651,0.800872301
WBGene00004452,-0.176988801,9.47278499,4.021903446,0.060910208,0.220402182
WBGene00004453,-0.216960218,9.08487288,3.523228123,0.07758571,0.260030551
WBGene00004454,-0.25831332,9.784006801,6.402604088,0.021434896,0.109998058
WBGene00004455,0.794027515,-0.20673183,5.670203157,0.029066681,0.136281663
WBGene00004456,-0.174925028,10.56838115,2.201166961,0.156002063,0.396003135
WBGene00004457,0.355941371,7.562073505,26.08095209,8.46E-05,0.001504778
WBGene00004458,0.118050382,7.069271841,1.896438448,0.186139357,0.43812434
WBGene00004459,0.158242538,7.133023446,2.674599452,0.120130311,0.339428441
WBGene00004460,0.109497304,6.909259913,1.670270349,0.213318217,0.473851564
WBGene00004461,0.120607536,5.797062428,2.798587109,0.11243903,0.326873908
WBGene00004462,0.24717063,6.705073111,14.83155551,0.001257065,0.013191441
WBGene00004463,0.162749453,6.224386272,5.371453053,0.033040517,0.148380284
WBGene00004464,0.123960277,5.629902363,3.912505439,0.06417775,0.22812459
WBGene00004465,0.123258018,5.498217334,2.701185137,0.118429325,0.336921431
WBGene00004466,0.175515541,5.801334991,5.089540938,0.037371039,0.160516034
WBGene00004467,0.109746764,5.937197786,1.71537746,0.207516241,0.46711519
WBGene00004468,0.206832498,4.535876725,4.671634798,0.04504863,0.18099433
WBGene00004469,-0.115100097,11.67558071,1.188450258,0.290682112,0.558992193
WBGene00004470,-0.177366016,11.83505661,2.940174114,0.104363816,0.312681503
WBGene00004471,-0.140525864,11.39093174,2.019509709,0.173168464,0.421208021
WBGene00004472,-0.109330057,10.73439091,1.360926537,0.25929971,0.527579669
WBGene00004473,-0.032926958,11.59493993,0.070837079,0.7932865,0.908613215
WBGene00004474,-0.118515277,11.36695962,1.47176288,0.241468287,0.507324216
WBGene00004475,-0.117965109,11.36104131,0.965480921,0.339432051,0.605618953
WBGene00004476,-0.159531834,10.85491411,2.683750554,0.119541524,0.33855692
WBGene00004477,-0.062812486,11.20795052,0.467579714,0.503212919,0.737964139
WBGene00004478,-0.120667927,11.06617524,1.808063044,0.196208265,0.451412952
WBGene00004479,-0.099752087,10.47235802,0.964724375,0.339616295,0.605618953
WBGene00004480,-0.129675039,10.66426442,2.072720227,0.167908856,0.413762139
WBGene00004481,-0.067577685,10.15130212,0.360542581,0.556035957,0.77459128
WBGene00004482,-0.143056711,9.770394958,1.947888777,0.180574568,0.43012601
WBGene00004483,-0.157335413,10.8846083,2.738158999,0.116111442,0.333271344
WBGene00004484,-0.137822976,10.50771144,2.339725685,0.144297011,0.380002232
WBGene00004485,-0.111166874,10.96442905,1.468804458,0.241923061,0.508018762
WBGene00004486,-0.173131337,9.969776044,3.521229409,0.077662566,0.260107676
WBGene00004487,-0.137099651,10.5545884,2.248138729,0.151908281,0.391022168
WBGene00004488,-0.0963637,10.09457261,0.823242659,0.376772334,0.638244846
WBGene00004489,-0.11141334,9.86778114,1.543572425,0.230761858,0.494338633
WBGene00004490,-0.136297303,9.083731919,1.303487634,0.26922527,0.537312606
WBGene00004491,-0.146326912,9.999148606,2.174919463,0.158348548,0.398847658
WBGene00004492,-0.120574622,10.65746491,1.637576063,0.217653157,0.478460566
WBGene00004493,-0.122497811,10.579265,1.502390491,0.236824798,0.501570301
WBGene00004494,-0.184773899,10.87442557,3.338459819,0.085084421,0.276118021
WBGene00004495,-0.133781162,9.823626581,1.567647299,0.227310121,0.489767807
WBGene00004496,-0.226904224,7.843988843,5.547200343,0.030632577,0.141144774
WBGene00004497,-0.111154245,8.960937098,1.18166697,0.29201824,0.560371867
WBGene00004498,-0.258191222,7.684596595,7.006996897,0.016828247,0.093046531
WBGene00004499,-0.059924108,10.25658921,0.432242718,0.519593688,0.749673538
WBGene00004501,0.147765424,6.384167984,5.943025576,0.025909241,0.125284189
WBGene00004502,0.148708359,6.132104428,2.382876794,0.140872285,0.373426223
WBGene00004503,0.143167503,6.127377935,3.798214812,0.067811697,0.236926012
WBGene00004504,0.087896493,6.210908095,1.73221528,0.205401873,0.464164033
WBGene00004505,0.059765059,6.316454362,0.796468778,0.384468943,0.645458955
WBGene00004506,0.12493154,5.94223233,2.519663095,0.130649034,0.357492817
WBGene00004507,-0.080647748,5.876491172,1.308359498,0.268364044,0.537079876
WBGene00004508,0.066536965,5.904831559,1.14253363,0.299891869,0.567449867
WBGene00004509,0.167864088,5.755726551,0.58720048,0.453894208,0.701876165
WBGene00004510,0.01989538,6.102893943,0.089574113,0.768306013,0.895525742
WBGene00004679,0.02145466,7.476916528,0.125475544,0.727476013,0.874028921
WBGene00004680,-0.085058406,4.273642529,1.016091263,0.327420996,0.595504981
WBGene00004681,-0.077404209,5.466618627,1.965781704,0.178688006,0.427455562
WBGene00004682,0.06465506,5.796176363,0.648767433,0.431549941,0.685372246
WBGene00004684,-0.005615468,5.710192818,0.008284796,0.928527792,0.971903318
WBGene00004698,0.035087646,6.23266559,0.081843611,0.778231868,0.900593806
WBGene00004699,8.38E-05,6.392389513,1.39E-06,0.999071568,0.999737367
WBGene00004700,-0.006732179,7.920356769,0.01029904,0.920339937,0.96749905
WBGene00004701,0.081483325,5.075649885,0.952961191,0.342499405,0.608054701
WBGene00004702,0.087193469,5.242535102,0.82564214,0.37609375,0.637691661
WBGene00004703,-0.026221366,6.794169121,0.129081722,0.723759427,0.872322029
WBGene00004704,-0.002561865,6.625335074,0.001579252,0.968758269,0.988938506
WBGene00004705,-0.026672372,6.107148277,0.117742321,0.735654894,0.877746643
WBGene00004706,-0.046617477,5.251019454,0.141689386,0.711210909,0.864502403
WBGene00004719,-0.141649527,5.987279261,2.397294576,0.139750078,0.371266386
WBGene00004721,0.189696408,2.202525916,0.977830515,0.336444472,0.60342327
WBGene00004723,0.050984487,5.512889579,0.239322641,0.630876562,0.822034089
WBGene00004726,-0.060510681,4.788707519,0.598013411,0.449836364,0.699016576
WBGene00004727,-0.20913529,6.067074295,8.614102015,0.00916655,0.059730956
WBGene00004728,0.150727886,7.313335734,3.495120932,0.078674769,0.262466564
WBGene00004729,-0.106394341,6.856311694,2.127176085,0.162728935,0.405987103
WBGene00004732,-0.029230005,8.28249547,0.186405254,0.671289581,0.84513323
WBGene00004735,-0.237111708,6.604599988,4.698101975,0.044511637,0.179783343
WBGene00004736,-0.07940108,11.61591032,0.736332212,0.40263953,0.661195702
WBGene00004737,0.132001577,4.149136847,0.775652697,0.390616154,0.651083617
WBGene00004738,0.033233376,6.719816279,0.233029132,0.635374248,0.825332966
WBGene00004739,-0.203743817,8.681065461,6.905065865,0.01751938,0.095627441
WBGene00004740,0.002822178,6.452795565,0.001056827,0.974440557,0.991355116
WBGene00004743,0.041225637,5.601758397,0.350204819,0.561696731,0.778138708
WBGene00004744,0.000536896,6.282162533,4.46E-05,0.994747533,0.998768701
WBGene00004745,0.034191377,5.027398905,0.164517361,0.690032687,0.853049883
WBGene00004746,0.009311077,6.528224143,0.015611699,0.902014597,0.959212739
WBGene00004747,0.141695272,6.710916954,2.211716671,0.155070961,0.39495402
WBGene00004748,1.00444443,1.202584231,16.34568335,0.000827463,0.009472033
WBGene00004749,-0.071285965,6.812351472,1.497988212,0.237485058,0.502135026
WBGene00004750,0.858595692,-0.078387341,1.682606791,0.211711148,0.472104164
WBGene00004751,0.04125138,8.249011935,0.34694536,0.563505182,0.779451856
WBGene00004752,0.076190622,5.189686901,0.948157949,0.34368669,0.60888408
WBGene00004753,0.221362885,4.661130882,8.713799936,0.008841258,0.058055058
WBGene00004754,-0.059206444,5.086959668,0.404526166,0.533134654,0.759026762
WBGene00004755,0.013790134,7.219904509,0.051963526,0.822369369,0.920220592
WBGene00004756,-0.025305909,6.026322814,0.092468313,0.764710895,0.893834254
WBGene00004758,0.265210289,6.957355526,11.51119695,0.00341532,0.028006799
WBGene00004759,0.051120209,7.120821325,0.885353715,0.359769482,0.623062469
WBGene00004760,0.035279713,8.244446388,0.271908701,0.608704664,0.807667583
WBGene00004762,0.036164932,5.648200553,0.220437553,0.644604537,0.831190866
WBGene00004764,0.11266755,3.358419111,0.412963961,0.528943914,0.756445039
WBGene00004765,-0.126220161,4.956769315,1.921803241,0.183369601,0.434143484
WBGene00004766,0.08655453,5.936975435,1.04218239,0.321461476,0.589559306
WBGene00004767,0.053611429,5.967981302,0.715962083,0.409091269,0.665830039
WBGene00004768,0.198419194,6.092190261,8.149466078,0.010872489,0.067306327
WBGene00004769,0.092659407,3.845768259,0.819206447,0.377917886,0.639437946
WBGene00004771,0.248592122,3.266972843,2.704738298,0.118204184,0.336479087
WBGene00004773,-0.21542631,7.394437048,11.16990628,0.00381284,0.030561769
WBGene00004774,0.074801288,5.206814632,1.013031442,0.328130011,0.596196103
WBGene00004775,-0.011158964,4.415538099,0.007944151,0.930008371,0.972533864
WBGene00004776,-0.063036771,4.806244242,0.493807656,0.491637081,0.730067475
WBGene00004777,-0.150954479,3.899638598,1.512658436,0.235294017,0.500055858
WBGene00004778,0.07358846,5.157951422,0.865521947,0.365074197,0.628120059
WBGene00004779,-0.421268478,4.112008399,9.370416927,0.006997782,0.048406611
WBGene00004780,0.036379047,3.604391854,0.046998967,0.830921005,0.925146528
WBGene00004781,-0.118052746,4.306217354,2.033923946,0.17172379,0.419524808
WBGene00004782,0.063556041,6.454462084,0.619048703,0.442109107,0.692878251
WBGene00004783,-0.04475595,7.126125812,0.426486547,0.522353497,0.751284922
WBGene00004786,-0.341002545,4.046995778,16.99740654,0.00069554,0.008201597
WBGene00004787,-0.035538545,2.17425484,0.044920493,0.834641826,0.927107763
WBGene00004788,0.011816511,6.690982702,0.052632945,0.82124978,0.919834432
WBGene00004789,-0.300951067,4.302848355,9.786350874,0.006055852,0.043317575
WBGene00004790,0.134198609,3.584065294,1.275181138,0.274302704,0.54172728
WBGene00004793,0.045535613,3.620115547,0.160486516,0.693641907,0.85427539
WBGene00004795,0.211613009,3.8019811,2.41552865,0.138346331,0.369229287
WBGene00004796,-0.054971089,3.165789653,0.203723147,0.65737207,0.83802217
WBGene00004798,2.251783205,4.223953779,27.44076992,6.43E-05,0.001199518
WBGene00004800,0.022811574,5.872707985,0.110367471,0.743740972,0.88195413
WBGene00004801,-0.32528415,5.066571624,16.18932966,0.000863141,0.009780017
WBGene00004802,0.008528731,0.158706692,0.000807572,0.977656095,0.992568888
WBGene00004803,-0.330547365,3.687796081,11.77620731,0.003138697,0.026216714
WBGene00004804,0.107320235,7.932238922,1.283008008,0.272886087,0.540624084
WBGene00004806,0.077362051,6.02913838,1.121898955,0.304160564,0.571805968
WBGene00004807,-0.002789178,8.780547485,0.002751434,0.958771338,0.984379329
WBGene00004808,0.203647176,3.575950119,2.129434844,0.162518364,0.405861818
WBGene00004809,0.33527367,6.179895412,9.746014682,0.006140638,0.043729788
WBGene00004810,0.959078023,3.727278536,44.4855414,3.72E-06,0.000119055
WBGene00004811,1.289193046,0.415762139,13.68822964,0.00174939,0.016912716
WBGene00004813,0.821558311,1.523091574,1.545119173,0.23053807,0.494078337
WBGene00004814,1.618359308,0.705899511,4.669018167,0.045102124,0.181108334
WBGene00004815,0.892705561,0.762693774,1.433340374,0.247462553,0.512831018
WBGene00004816,1.075554893,0.671470731,1.794519003,0.197811295,0.453660592
WBGene00004818,1.409537966,-0.240836573,5.702505215,0.028670775,0.134945397
WBGene00004819,0.664189523,-0.501885388,0.941932,0.345234404,0.610138656
WBGene00004820,0.79484164,0.404866251,0.850889901,0.369061564,0.631904558
WBGene00004821,1.230911388,-0.45779136,2.698358438,0.118608801,0.337233422
WBGene00004822,-0.122035578,4.20478341,2.051965566,0.169936523,0.416657883
WBGene00004823,0.021605477,2.258402336,0.015932187,0.90101953,0.959169898
WBGene00004824,-0.049033044,4.550333871,0.355253981,0.558917821,0.776099652
WBGene00004825,0.072238038,7.133299909,0.487223388,0.494498983,0.731805269
WBGene00004826,-0.005739495,5.051060603,0.004915457,0.944914664,0.979591051
WBGene00004827,-0.024201484,4.345564828,0.038833746,0.846088587,0.932221987
WBGene00004829,-0.171564482,5.275374671,6.731135837,0.018774522,0.100509926
WBGene00004830,-0.121762725,5.059769958,3.695664709,0.071278151,0.244963562
WBGene00004831,0.12075708,6.812310366,4.226612025,0.055301152,0.207324702
WBGene00004854,0.138466447,5.45753467,4.072310384,0.059470018,0.217306983
WBGene00004855,0.152289231,8.968604423,1.422076925,0.249256508,0.515663856
WBGene00004856,0.038101323,3.825363424,0.08714549,0.771372162,0.896737155
WBGene00004857,-0.110955303,3.261908636,0.876623263,0.362090834,0.625437468
WBGene00004858,-0.08508626,5.85958521,0.893086216,0.357731477,0.62101636
WBGene00004859,-0.137143806,5.802641017,3.302421692,0.086644645,0.278588717
WBGene00004860,0.220426405,6.202501996,7.476916822,0.014017232,0.081352713
WBGene00004862,0.063081275,9.184158764,0.450274321,0.511117341,0.744732807
WBGene00004873,0.012587673,4.903217767,0.028726832,0.867388994,0.943236047
WBGene00004874,-0.001567167,6.851734988,0.000238851,0.987847233,0.996303298
WBGene00004875,0.214021974,7.256991271,4.481652774,0.049130383,0.191448644
WBGene00004876,0.224976287,2.595725717,2.881248054,0.107637666,0.318750744
WBGene00004878,-0.371628541,2.664280163,2.108902031,0.164444936,0.408560948
WBGene00004879,0.037444548,8.097211387,0.375746304,0.547910005,0.769559197
WBGene00004880,0.223903614,6.182589873,5.012161394,0.038671326,0.164395675
WBGene00004881,-0.042026929,6.413465747,0.349458062,0.56211004,0.778413636
WBGene00004882,-0.118502978,4.910813284,1.88584435,0.187311666,0.439655075
WBGene00004883,0.252708503,4.087661438,6.511368088,0.020509314,0.106864066
WBGene00004884,0.054619805,6.4491121,0.569785097,0.460557172,0.70656098
WBGene00004885,0.018314983,4.392825318,0.063320147,0.804305572,0.912987278
WBGene00004886,-0.146279319,2.315612918,0.948857721,0.343513353,0.608804636
WBGene00004887,0.106598301,3.605569733,1.666519706,0.213809891,0.474652717
WBGene00004888,0.085934398,5.501529841,0.529432336,0.476635705,0.719025317
WBGene00004889,0.045301832,5.254491173,0.37158701,0.550110096,0.770580387
WBGene00004890,-0.151202423,5.679658659,2.603096364,0.124852853,0.348022225
WBGene00004891,0.08219887,4.50673506,0.972996126,0.337609535,0.603590188
WBGene00004892,-0.128201382,5.864325911,2.117778146,0.163608666,0.407391202
WBGene00004893,-0.109905914,3.772388346,0.834486798,0.373607979,0.63563358
WBGene00004894,0.104425586,3.926352421,0.681459238,0.420389015,0.675075752
WBGene00004895,0.053777136,3.406843806,0.149471169,0.703783086,0.859831493
WBGene00004896,-0.127357002,4.648488669,2.459590661,0.135024178,0.364253609
WBGene00004897,0.064693008,8.696372281,0.912735402,0.352627223,0.616512693
WBGene00004898,-0.304051461,3.177683103,5.936254724,0.025982699,0.125471932
WBGene00004900,-0.145385995,6.273237965,4.627736357,0.045955851,0.183266978
WBGene00004902,-0.154911909,6.613121193,4.801651416,0.042480443,0.174245887
WBGene00004905,0.040952202,4.448897497,0.130080911,0.722740098,0.871666902
WBGene00004910,0.065663469,6.701062793,0.438792263,0.516485634,0.747634216
WBGene00004911,-0.171109033,4.528728351,2.382251356,0.140921214,0.373487605
WBGene00004912,0.063750451,4.522257562,0.620060541,0.441742823,0.692734375
WBGene00004913,-0.05414244,3.69603563,0.306972768,0.586676587,0.79399674
WBGene00004914,0.191999727,5.851228804,6.042272186,0.02485925,0.12166844
WBGene00004915,0.109884353,5.716621079,1.757014123,0.202337239,0.460108469
WBGene00004916,0.245107611,5.066235846,9.273526909,0.007240264,0.049610359
WBGene00004917,0.201753111,4.734788687,6.160733268,0.023668968,0.117954156
WBGene00004918,0.10096028,3.887546093,1.151480276,0.298066528,0.566155223
WBGene00004919,0.20648157,4.727300226,4.988763736,0.039074686,0.165396213
WBGene00004920,0.222088929,4.699817018,6.781996383,0.018397219,0.09910648
WBGene00004921,-0.013551326,6.591812856,0.03073895,0.862871758,0.940948552
WBGene00004922,0.15966349,4.48342245,1.763332596,0.201565663,0.458930022
WBGene00004923,-0.041298911,5.457554105,0.184232423,0.673089757,0.845709793
WBGene00004924,-0.219634551,7.897837756,6.096545412,0.024305644,0.119934486
WBGene00004925,-0.447622663,4.309918734,24.45486262,0.000118938,0.002001909
WBGene00004926,-0.095001377,5.737354279,1.705045224,0.208827362,0.468569808
WBGene00004927,0.031843935,4.619137008,0.061001997,0.807843469,0.914722373
WBGene00004928,0.03826914,3.810693605,0.084239478,0.775102963,0.898839092
WBGene00004929,-0.178153266,5.92752754,3.772452104,0.068663663,0.239057467
WBGene00004930,0.825351042,6.793787586,107.5156003,8.09E-09,8.37E-07
WBGene00004931,-0.098203212,5.065940041,2.014810256,0.173642723,0.421653877
WBGene00004932,5.470674354,2.157547628,151.490153,5.91E-10,9.86E-08
WBGene00004933,-0.570788181,4.679139507,26.50167779,7.77E-05,0.001403331
WBGene00004944,-0.097730837,4.694254582,0.779703689,0.389408355,0.649701344
WBGene00004945,-0.109526325,6.187059811,2.156847836,0.159989339,0.401906382
WBGene00004946,0.047544499,6.328051324,0.308377366,0.585829289,0.79345198
WBGene00004947,-0.097819939,5.879145427,2.433294185,0.136995072,0.367518063
WBGene00004949,0.05105231,6.323551729,0.317217746,0.580554242,0.790658028
WBGene00004950,0.054243942,4.508146671,0.610459468,0.445238212,0.695320556
WBGene00004951,0.046173088,10.03647929,0.220487342,0.644567407,0.831190866
WBGene00004952,-0.286574396,3.921984535,5.116620835,0.036927908,0.159126428
WBGene00004953,0.26222307,5.55959816,17.64290854,0.000587679,0.007161718
WBGene00004954,-0.272390045,2.182649485,1.864545074,0.189696669,0.442829273
WBGene00004955,-0.192129086,5.917039901,2.586047724,0.126011631,0.349906218
WBGene00004958,-0.797605326,3.590158415,14.59897833,0.001343041,0.013867872
WBGene00004959,0.059375002,1.502099372,0.092727084,0.764392478,0.893569072
WBGene00004960,-0.489282768,-0.373487276,0.828048271,0.3754151,0.637361249
WBGene00004963,-0.193332408,0.949794102,0.601126827,0.448678921,0.698317661
WBGene00004964,0.435968609,-0.118579867,0.876972354,0.361997596,0.625437468
WBGene00004969,0.104990313,3.583495892,1.144257879,0.299538894,0.567277913
WBGene00004972,0.252776551,1.764598735,1.885627327,0.187335778,0.439655075
WBGene00004975,0.08192681,4.481766873,0.760860095,0.395074818,0.654223335
WBGene00004976,0.817405374,-0.363323416,5.468437939,0.031966915,0.144909301
WBGene00004978,-0.054765206,6.102160577,0.923328455,0.34991894,0.613881113
WBGene00004979,0.259371558,4.136237595,5.944866006,0.025889314,0.125229621
WBGene00004980,-0.037875086,8.884643685,0.35990394,0.55638242,0.774882198
WBGene00004981,0.024880748,5.192982026,0.086594055,0.772074832,0.89690649
WBGene00004984,0.461758341,3.38595494,1.144662162,0.299456214,0.567277913
WBGene00004985,-0.453457937,1.361708407,1.744202617,0.203913203,0.46245855
WBGene00004986,0.579380161,6.176788127,19.3822597,0.00037933,0.005006181
WBGene00004987,1.145393245,5.421073509,49.16789405,1.96E-06,6.93E-05
WBGene00004988,-0.147802319,6.770313429,0.920614198,0.350610025,0.614542875
WBGene00004989,-0.618333402,-0.040353229,2.425477097,0.137587664,0.368221686
WBGene00004990,0.324795198,8.604212699,9.335395005,0.007084356,0.048831307
WBGene00004991,-1.243925499,1.11463119,25.32303752,9.90E-05,0.001716251
WBGene00004993,-0.12581362,7.563502904,0.417001083,0.526960382,0.755069394
WBGene00004995,0.146570497,7.062092874,2.546488684,0.128750713,0.354995307
WBGene00004996,3.457118298,2.923854463,38.9317153,8.52E-06,0.000234271
WBGene00004999,0.160798857,9.836626757,1.740312541,0.204394798,0.463043522
WBGene00005000,0.472458831,3.609339268,7.216713738,0.01550146,0.087581737
WBGene00005001,0.168150115,3.521738111,2.056900645,0.16945165,0.415725971
WBGene00005002,-0.770086112,1.868828624,19.43695486,0.000374281,0.004962559
WBGene00005003,0.056631401,3.417320074,0.123582681,0.729451059,0.87511246
WBGene00005004,0.194255228,0.200379884,0.355167268,0.558965317,0.776099652
WBGene00005006,0.040532653,4.249093488,0.301067018,0.59374627,0.798516904
WBGene00005007,0.184862672,5.779433473,1.980324265,0.177172727,0.426029528
WBGene00005008,0.087314328,2.915525879,0.433903297,0.518802457,0.749226229
WBGene00005009,-0.110413897,7.223677143,2.528659599,0.130008652,0.356631721
WBGene00005010,-0.042371331,5.112215566,0.212306932,0.650738473,0.834949752
WBGene00005011,0.12161972,1.41167518,0.163222181,0.691186692,0.853049883
WBGene00005012,-0.262607443,1.365547392,1.5827504,0.225178591,0.486797594
WBGene00005014,0.244333611,3.860047767,8.1353012,0.010929869,0.067546123
WBGene00005015,0.047284923,7.451593812,0.324363255,0.576361471,0.788063643
WBGene00005017,0.85617162,-0.624634659,2.238027024,0.152778342,0.392216782
WBGene00005018,0.885705275,3.553885261,1.160940021,0.29615295,0.564271438
WBGene00005019,0.117310534,5.286637524,2.409335644,0.138821171,0.369984071
WBGene00005020,-0.078307219,3.10504636,0.459909778,0.506689184,0.741561265
WBGene00005021,0.244251001,3.062035374,3.823583067,0.066984806,0.235503106
WBGene00005022,0.461328483,4.362618927,13.13001616,0.002065998,0.019279102
WBGene00005023,-0.023298795,5.853567757,0.097716405,0.75834611,0.89010124
WBGene00005024,-0.033728417,4.293553393,0.094414597,0.762327859,0.892698284
WBGene00005025,-0.084490497,4.8075365,0.811074909,0.380241503,0.641412671
WBGene00005026,-0.038103656,5.77759205,0.310261236,0.584696872,0.792872375
WBGene00005032,-0.173037247,2.261539898,0.958519515,0.341132759,0.606876223
WBGene00005033,0.909996566,-0.297883135,2.829584479,0.110609162,0.323571898
WBGene00005036,-0.11945443,1.700595675,0.386437469,0.542331525,0.765284174
WBGene00005037,-0.392805399,0.770683909,2.702484053,0.118346961,0.336753222
WBGene00005038,-0.090771438,-0.297146897,0.082114133,0.796380796,0.909935381
WBGene00005040,0.099522347,0.588802647,0.206406834,0.684162589,0.850843924
WBGene00005047,-0.61835678,-0.185276111,2.860664895,0.108809979,0.320698437
WBGene00005051,0.081338957,0.323540271,0.049175666,0.827115796,0.923085037
WBGene00005057,-0.322153516,0.166731364,0.79634849,0.384504049,0.645458955
WBGene00005059,-0.948361973,0.272983512,6.381168001,0.021622878,0.110727474
WBGene00005062,0.000672722,-0.096124658,5.18E-06,0.998209675,0.999513862
WBGene00005063,-0.108787748,2.523701511,0.598768442,0.449555228,0.698782076
WBGene00005070,-0.41678304,1.019874289,3.56408296,0.076034087,0.256192977
WBGene00005077,-0.027704076,5.757830543,0.116804037,0.736667595,0.878376402
WBGene00005078,-0.197878818,3.351860751,4.168072619,0.056841513,0.211379831
WBGene00005081,-0.250921058,1.535599527,1.552567819,0.229464291,0.492140965
WBGene00005082,-1.621783585,-0.122674909,12.57921172,0.002442831,0.021778595
WBGene00005088,0.822402465,0.60850682,7.524021192,0.013766138,0.080061441
WBGene00005095,-0.325969475,-0.538443332,0.662989609,0.426637877,0.680552954
WBGene00005096,0.782110801,0.309014662,5.957420404,0.025753855,0.124699255
WBGene00005101,0.140032541,2.474971687,0.727908207,0.405288586,0.663030186
WBGene00005108,3.149869045,0.190451959,50.65309546,1.62E-06,5.91E-05
WBGene00005110,0.430784353,2.704981008,6.597520098,0.019808383,0.104572027
WBGene00005111,-0.084324128,2.092634402,0.217295818,0.646958019,0.832508933
WBGene00005113,-0.327342948,0.382836417,0.792928271,0.385504223,0.646537113
WBGene00005117,1.924033166,-0.224271282,10.24661974,0.00631069,0.044481772
WBGene00005127,-0.065401378,1.533515802,0.079543064,0.781283461,0.902331383
WBGene00005131,-0.28897081,1.043335455,2.025673402,0.172548869,0.420194625
WBGene00005132,0.254006563,0.506393462,0.793348956,0.385380992,0.64648334
WBGene00005138,0.541298351,-0.766393534,0.849026327,0.36957398,0.632259016
WBGene00005141,0.157763258,0.132718091,0.195651031,0.663766766,0.841142705
WBGene00005147,-0.199294973,2.023356517,1.847669813,0.191613353,0.445320023
WBGene00005149,-0.265215156,1.239190239,1.405316406,0.251957641,0.518729432
WBGene00005150,0.181826499,-0.12780286,0.304304121,0.598887744,0.801170608
WBGene00005153,0.153263936,3.533877553,2.539066301,0.12927261,0.355666615
WBGene00005160,0.763262157,-0.007569405,5.200145157,0.035598668,0.155802636
WBGene00005163,0.051720526,0.660566553,0.02752527,0.870164616,0.945283188
WBGene00005165,-0.35550169,0.980375789,1.386948571,0.25496208,0.522396502
