WB_id,logFC_daf16,logFC_double,logFC_daf2
WBGene00002067,-0.407648887,-0.409874477,0.039361931
WBGene00002071,-0.275671172,-0.348491719,-0.263524416
WBGene00002087,-1.848931775,-1.655585485,-0.638116994
WBGene00002088,-2.23662787,-1.837200597,2.288335153
WBGene00002089,-1.196076975,-1.180566743,0.573833102
WBGene00002105,0.911494697,0.857881716,0.846846309
WBGene00002107,-2.533868875,-2.308620934,0.437913452
WBGene00002109,-2.511831898,-2.403345126,1.679925391
WBGene00002110,-1.441819735,-1.444173881,0.903171949
WBGene00002113,-2.476481161,-2.451920323,0.887742806
WBGene00002118,-2.03341656,-2.254850391,-0.489210709
WBGene00002127,0.322658263,0.307483742,0.061175756
WBGene00002133,-0.415794358,-0.550660117,0.448107921
WBGene00002137,-0.384095411,-0.363532967,0.058686537
WBGene00002138,-0.524626545,-0.44863837,0.100014941
WBGene00002139,-0.295198568,-0.334394081,0.176236
WBGene00002147,-0.770187843,-0.138310075,-0.048022518
WBGene00002163,-0.601216786,-0.692951787,0.376608525
WBGene00002174,-0.388612986,-0.374824437,-0.164542348
WBGene00002181,0.283836587,0.126721744,-0.175602919
WBGene00002183,-0.502068371,-0.516574773,-0.311349263
WBGene00002187,0.261974622,0.185710589,0.020548022
WBGene00002188,-0.977457751,-1.208074786,0.479976046
WBGene00002200,-0.469055629,-0.619066089,0.401541674
WBGene00002234,-0.58416584,-0.469922,-0.206899924
WBGene00002238,-1.088360547,-1.134406379,-0.582154494
WBGene00002249,0.207333084,0.273737116,-0.018833095
WBGene00002253,-0.552844162,-0.578251182,0.316640404
WBGene00002255,0.442859271,0.438574145,-0.384442907
WBGene00002258,-1.13321559,-1.314680499,-0.398502216
WBGene00002259,0.711289286,0.712310283,-0.529299159
WBGene00002263,-0.528719591,-0.598595654,0.37275084
WBGene00002264,-0.323589082,-0.399987938,-0.069925971
WBGene00002265,0.376896142,0.442982813,-0.518124552
WBGene00002268,-0.775643099,-0.869589951,-0.177227471
WBGene00002269,-0.89303888,-0.872446622,-0.286262148
WBGene00002272,-0.415506543,-0.378917325,0.73064566
WBGene00002601,-0.573362025,-0.182764684,-0.601398434
WBGene00002827,1.294192491,1.213777181,-0.255733074
WBGene00002855,-0.334990456,-0.336401446,0.10294819
WBGene00002879,0.386430457,0.328772358,-0.170299378
WBGene00002891,-0.66104589,-0.681227485,-0.175968322
WBGene00002979,0.32830506,0.268756765,0.018456467
WBGene00003015,0.796179908,0.724276595,-0.012926043
WBGene00003061,0.226665728,0.118106489,0.109995668
WBGene00003063,0.242167754,0.502783706,0.47322447
WBGene00003073,0.336463613,0.58062653,0.674389133
WBGene00003091,-1.908272185,-1.550428747,1.091080261
WBGene00003093,1.027039553,0.92835352,0.337559612
WBGene00003094,1.531761009,1.640482698,-0.782952062
WBGene00003096,-3.795626601,-2.34416106,-0.38390042
WBGene00003097,-0.409196903,-0.257174886,-0.361706066
WBGene00003112,0.313145659,0.239552266,-0.57188549
WBGene00003143,0.219546907,0.139630884,0.118205583
WBGene00003162,0.59417274,0.504272572,-0.124881325
WBGene00003171,0.42504769,0.193431224,0.008887242
WBGene00003175,0.333772113,0.151902475,0.041477188
WBGene00003210,-0.363124086,-0.397777998,0.127507877
WBGene00003214,-0.608722288,-0.653331141,0.332532591
WBGene00003233,0.405291139,0.400700248,0.039578301
WBGene00003237,0.98514835,0.769812384,0.539965557
WBGene00003238,0.281772045,0.207896478,-0.27364967
WBGene00003247,0.239998039,0.195341707,-0.20092219
WBGene00003252,-1.152614637,-1.172609975,1.229701269
WBGene00003384,-0.425811909,-0.267289371,0.592048591
WBGene00003387,0.337803792,0.255940557,-0.120062562
WBGene00003388,0.654466223,0.445133598,-0.264684602
WBGene00003402,0.457268128,0.452201909,-0.344854978
WBGene00003409,-0.48537934,-0.414188156,0.033646389
WBGene00003411,0.414608646,0.68196622,-0.576807814
WBGene00003473,-4.767916689,-5.109533151,1.344699205
WBGene00003474,1.324107048,1.223734797,-1.073685709
WBGene00003485,0.698536433,0.676122945,-0.474176231
WBGene00003515,-0.79078791,-0.736274482,-0.955060157
WBGene00003517,0.515684846,0.501691862,-0.60820239
WBGene00003522,2.063205674,1.861122616,-0.616359749
WBGene00003525,0.666882396,0.967896385,-1.45563162
WBGene00003526,-0.80383121,-0.807061251,-0.135067786
WBGene00003528,-1.063243271,-0.840306772,1.274482219
WBGene00003548,-1.65611035,-1.996810125,-0.014742744
WBGene00003555,0.733478383,0.750985489,0.12371838
WBGene00003568,0.322375368,0.419394476,-0.100883603
WBGene00003571,1.402049391,1.331642185,-0.711830558
WBGene00003577,0.56421997,0.561015455,-0.3225172
WBGene00003596,0.240156678,0.478654439,0.702652163
WBGene00003597,0.389063071,0.507461801,-0.091306936
WBGene00003602,-0.804700501,-0.752323646,-0.920825349
WBGene00003608,-1.544791614,-2.000088074,-0.640161123
WBGene00003619,-0.283324392,-0.154435937,-0.360619543
WBGene00003620,0.878774542,0.818391116,-0.614212424
WBGene00003626,0.350153247,0.450048407,-0.346440334
WBGene00003627,-0.373653188,-0.303565401,0.451730152
WBGene00003633,-0.479133549,-0.404971773,-0.344257082
WBGene00003648,-0.912658598,-1.008979317,-1.457364996
WBGene00003651,-0.547703478,-0.533889612,-0.140290299
WBGene00003652,-0.670313586,-0.544849345,0.605431577
WBGene00003658,-1.388403376,-1.629240667,0.503120917
WBGene00003674,-0.384695993,-0.212812116,-0.439620797
WBGene00003677,0.318672909,0.392502203,-0.39898482
WBGene00003689,0.322458956,0.173039794,-0.174722462
WBGene00003696,-0.562474849,-0.328926627,-0.253283697
WBGene00003704,-0.864839802,-0.823146456,-0.215880892
WBGene00003705,0.698947891,0.534756988,-0.143912988
WBGene00003707,0.324011437,0.424974945,-0.517803288
WBGene00003723,-0.431117401,-0.107302919,0.448418244
WBGene00003739,0.335168903,0.348621621,0.00825439
WBGene00003740,-0.664791744,-0.409201215,0.111812393
WBGene00003747,0.422886992,0.348409314,-0.295735956
WBGene00003749,0.518476164,0.509246214,-0.038526917
WBGene00003750,0.79032154,0.457417269,-0.722979916
WBGene00003752,0.268708694,0.244900525,0.192847412
WBGene00003753,0.387485778,0.282625078,-0.053398853
WBGene00003758,0.599151582,0.518783764,0.484873117
WBGene00003764,-1.181646934,-1.339595591,-2.046911046
WBGene00003765,-0.711325523,-0.412781472,0.488401244
WBGene00003766,-1.901483261,-1.3590151,0.343002831
WBGene00003767,-1.013835958,-0.609276253,0.794363703
WBGene00003769,-0.679325854,-0.413566641,1.013045367
WBGene00003778,-2.632669021,-2.351455569,0.189309213
WBGene00003786,-1.110289972,-0.989205416,-0.1370463
WBGene00003821,0.2130603,0.510576173,0.492086734
WBGene00003828,0.694168628,1.009441547,-0.593781463
WBGene00003844,-0.463865618,-0.264539405,-0.337771216
WBGene00003877,0.373038022,0.550440714,-0.876143241
WBGene00003887,0.400472659,0.31275013,-0.278440724
WBGene00003890,0.38726057,0.380181803,0.04297509
WBGene00003920,0.197905974,0.156963282,-0.089134299
WBGene00003922,-0.21826336,-0.306947592,0.037582702
WBGene00003934,-0.322126229,-0.460295291,-0.22475375
WBGene00003943,-0.914439295,-1.297069467,-0.122449815
WBGene00003947,-0.28391983,-0.378717788,-0.1932883
WBGene00003956,-0.331511753,-0.068616846,0.376297144
WBGene00003957,2.930332946,3.01694744,-0.153616555
WBGene00003958,0.606514361,0.77761249,-0.351283744
WBGene00003963,-0.421324021,-0.429575259,-0.414008372
WBGene00003965,-0.798634025,-0.898552818,0.879843081
WBGene00003980,0.210006464,0.168539202,-0.30871301
WBGene00003982,-1.146365215,-0.81850137,0.06912008
WBGene00003990,-0.326033095,-0.383399802,0.601857682
WBGene00003995,0.883808757,1.14073745,-0.31787623
WBGene00003999,-1.61713802,-1.601758567,-2.609326194
WBGene00004000,-1.768063623,-1.69776033,-2.59915823
WBGene00004001,-1.548706181,-1.429133568,-2.647512503
WBGene00004003,0.430778257,0.473174322,-0.245002197
WBGene00004005,0.461067164,0.351747339,-0.758862498
WBGene00004006,0.911518915,0.786329643,0.494417399
WBGene00004020,0.816316002,1.036861057,-0.897309922
WBGene00004035,-1.095143739,-0.963495938,-1.332151237
WBGene00004044,0.567193217,0.453345634,-0.072354563
WBGene00004047,0.258242021,0.09372453,-0.08173203
WBGene00004053,-0.388658402,-0.366688719,-0.026501896
WBGene00004062,-2.063015701,-2.107578378,0.761041468
WBGene00004092,0.793112614,0.770161269,-0.537714801
WBGene00004096,0.372737727,0.400058671,-0.137859247
WBGene00004112,0.278440551,0.053992931,0.074134474
WBGene00004113,-0.536032603,-0.559776491,0.172431528
WBGene00004114,-0.42924832,0.010081465,0.162743431
WBGene00004124,-0.544119331,-0.302751216,0.53280057
WBGene00004145,-0.568075022,-0.564097748,0.551812808
WBGene00004149,2.269406647,2.346449653,-0.594312488
WBGene00004157,-1.025631682,-0.722191602,0.763647358
WBGene00004168,-0.602889448,-0.299175981,0.290051805
WBGene00004169,-0.621981585,-0.514894354,0.138410015
WBGene00004172,0.38571688,0.440276883,-0.592239348
WBGene00004183,-0.3111339,-0.446332867,0.053514882
WBGene00004195,-0.533207133,-0.552780383,0.123589822
WBGene00004197,-0.370776662,-0.535907832,-0.297903798
WBGene00004210,-0.328571639,-0.456749487,0.070177905
WBGene00004225,-0.670729939,-0.660150491,0.622273621
WBGene00004226,0.425889527,0.339556972,-0.24230258
WBGene00004237,-0.367776502,-0.235762617,-0.238231094
WBGene00004238,0.422502551,0.523474312,-0.023602423
WBGene00004258,0.320362824,0.327083593,0.043011201
WBGene00004300,-1.189564315,-1.334753092,0.145676878
WBGene00004326,0.230436219,0.255347337,-0.23787024
WBGene00004356,-0.308255063,-0.303698533,0.00647849
WBGene00004358,0.542227535,0.567815863,-0.497934727
WBGene00004359,0.713382893,0.572247248,-0.042349334
WBGene00004382,-0.688871498,-0.71402315,0.027546259
WBGene00004398,1.817392481,1.949025003,0.205948011
WBGene00004457,-0.362176734,-0.37714205,0.110447303
WBGene00004462,-0.253173646,-0.189077302,0.178287578
WBGene00004748,-1.008723548,-0.720543122,0.121316677
WBGene00004758,-0.271571111,-0.047187442,0.075385601
WBGene00004773,0.209579137,0.09910428,0.021837389
WBGene00004779,0.415390025,0.204433715,-0.164885718
WBGene00004786,0.335350731,0.261273834,-0.135441657
WBGene00004789,0.295432534,0.282218949,-0.958727605
WBGene00004798,-2.282380868,-2.302381057,0.043345229
WBGene00004801,0.318686855,0.409710083,-0.189072391
WBGene00004803,0.324569869,0.244549775,0.02717582
WBGene00004809,-0.341804118,-0.325903619,-0.420102744
WBGene00004810,-0.964937358,-1.146360824,1.060899417
WBGene00004811,-1.296105802,-1.026966869,-0.294277669
WBGene00004916,-0.250298924,-0.263174539,-0.114478191
WBGene00004925,0.441779779,0.439019955,0.024689472
WBGene00004930,-0.831221945,-0.873154782,0.411569538
WBGene00004932,-5.477947238,-5.972965703,1.488769822
WBGene00004933,0.56449627,0.466999354,-0.105801314
WBGene00004953,-0.268388145,-0.244531882,0.349410127
WBGene00004958,0.792174559,0.63235663,-0.5701602
WBGene00004986,-0.585747323,-0.6906007,-0.298455255
WBGene00004987,-1.151120416,-1.31437576,-1.822480493
WBGene00004990,-0.330834607,-0.394718075,-0.108039174
WBGene00004991,1.237184914,0.614351581,-1.599012577
WBGene00004996,-3.470338936,-3.541459333,4.418963683
WBGene00005002,0.760646839,1.042582617,-2.889687145
WBGene00005022,-0.466978731,-0.618245559,0.119750506
WBGene00005082,1.61596874,1.116392748,0.854568585
WBGene00005108,-3.157298844,-3.153883398,0.413012961
WBGene00005184,1.496282489,1.695968089,-1.354106229
WBGene00005248,0.551034578,0.915109836,0.312087873
WBGene00005251,0.739938008,0.870294771,0.109867219
WBGene00005293,-0.856525615,-0.910084513,0.066006543
WBGene00005444,-1.032535854,-1.058098471,-0.574554393
WBGene00005552,1.278578209,1.184774025,0.264196095
WBGene00005642,-1.292595299,-1.745366492,0.29090602
WBGene00005644,-0.692559961,-0.797561811,0.92338623
WBGene00005692,-1.405366019,-1.236299989,0.242434577
WBGene00005703,-1.931456827,-2.276432311,0.706005638
WBGene00005725,0.982330741,0.827058412,0.365411689
WBGene00005758,1.092327061,1.34123062,-0.189850911
WBGene00005759,0.79332669,1.064450225,-0.383152062
WBGene00005832,-4.310489052,-4.681128234,-5.645356832
WBGene00005837,-2.809183844,-2.64864831,0.253178357
WBGene00005914,-1.882389968,-1.254128942,-0.006709347
WBGene00005925,-1.467070312,-1.490949362,-0.401865325
WBGene00005959,-2.191982398,-1.711284042,1.094739516
WBGene00006063,0.502230126,0.294306872,0.249744037
WBGene00006067,0.348941801,0.196820944,0.0120502
WBGene00006138,-1.377237425,-1.579552502,1.14517446
WBGene00006163,1.407641582,1.237813556,1.01277839
WBGene00006167,1.551624899,1.909781643,0.247275574
WBGene00006262,-1.946956277,-1.656663009,0.721231868
WBGene00006308,0.692263826,0.927470173,-0.028022536
WBGene00006310,-0.377880852,-0.488988237,0.7032462
WBGene00006385,-0.30851462,-0.443240901,-0.075153523
WBGene00006404,0.997205198,1.380440993,-1.357348566
WBGene00006408,-0.505885324,-0.562973464,-0.619231211
WBGene00006414,-0.193406789,-0.238355414,-0.093481658
WBGene00006416,-1.696450655,-0.157076358,2.492327893
WBGene00006431,0.586854979,0.529483737,-1.072422067
WBGene00006454,0.885339112,0.492890658,-0.087460207
WBGene00006459,0.348971245,0.21862655,-0.022629273
WBGene00006462,-0.257894768,-0.258076179,0.172512345
WBGene00006463,-0.56051419,-0.107976913,0.697556842
WBGene00006476,0.229923807,0.080604303,-0.199942604
WBGene00006486,0.342091138,0.27176356,0.088350827
WBGene00006493,-0.514624388,-0.340768549,-0.037740392
WBGene00006497,0.371286819,0.526311932,0.430457929
WBGene00006508,-0.297573708,-0.369436738,-0.089487732
WBGene00006510,-0.909145463,-0.805803427,0.296497664
WBGene00006530,0.424070048,0.5086759,0.068137378
