Kaplan down,Kaplan up,Tepper class I,Tepper class II,double_daf2_down,double_daf2_up,,
ZK678.3,haf-4,WBGene00019495,WBGene00016325,WBGene00015889,WBGene00003828,,
nspc-10,Y7A9A.1,WBGene00009805,WBGene00016874,WBGene00014030,WBGene00020881,,
R12B2.6,T26H5.9,WBGene00016506,WBGene00002046,WBGene00016266,WBGene00013654,,
H11L12.1,dbl-1,WBGene00017698,WBGene00016189,WBGene00011004,WBGene00012968,,
T08D2.6,T21B6.3,WBGene00001957,WBGene00001817,WBGene00001685,WBGene00011321,,
fbxa-169,Y106G6D.4,WBGene00006602,WBGene00020456,WBGene00012605,WBGene00015829,,
T01C3.11,lipl-3,WBGene00000083,WBGene00020717,WBGene00009486,WBGene00008607,,
C55B7.10,ads-1,WBGene00015076,WBGene00008387,WBGene00000677,WBGene00012822,,
ZK380.5,oat-1,WBGene00001387,WBGene00007274,WBGene00001500,WBGene00000040,,
csp-3,Y55F3C.3,WBGene00017488,WBGene00013394,WBGene00015402,WBGene00001726,,
nspc-9,F58E10.7,WBGene00016274,WBGene00010645,WBGene00010055,WBGene00012428,,
ZK783.3,C12D5.9,WBGene00000013,WBGene00021317,WBGene00011571,WBGene00013093,,
ZK1248.7,pcp-5,WBGene00018701,WBGene00019640,WBGene00007072,WBGene00011767,,
Y9D1A.1,swm-1,WBGene00020895,WBGene00018417,WBGene00011042,WBGene00020589,,
ZK402.5,vha-7,WBGene00022781,WBGene00044321,WBGene00000749,WBGene00003877,,
clec-6,ncx-8,WBGene00008390,WBGene00011917,WBGene00007473,WBGene00016063,,
T02G5.11,F46G10.4,WBGene00017443,WBGene00007042,WBGene00001155,WBGene00010256,,
ZC15.3,grh-1,WBGene00011263,WBGene00018897,WBGene00009663,WBGene00009008,,
R05D8.9,nrf-5,WBGene00000212,WBGene00008385,WBGene00019854,WBGene00017214,,
nspc-18,mec-5,WBGene00015605,WBGene00044099,WBGene00021576,WBGene00014761,,
F45D11.1,lbp-7,WBGene00009963,WBGene00006739,WBGene00001763,WBGene00003620,,
Y46H3C.7,H06H21.8,WBGene00009820,WBGene00010325,WBGene00007989,WBGene00009515,,
F15E11.12,C43E11.9,WBGene00008044,WBGene00010340,WBGene00044900,WBGene00006609,,
Y6E2A.4,abt-4,WBGene00012810,WBGene00012260,WBGene00010399,WBGene00044120,,
H04D03.6,Y50D4B.3,WBGene00008850,WBGene00008499,WBGene00007131,WBGene00011006,,
F40H6.6,asm-1,WBGene00008304,WBGene00003520,WBGene00016943,WBGene00020672,,
nspc-15,C02C2.4,WBGene00001751,WBGene00010684,WBGene00011427,WBGene00001546,,
col-155,ZC190.4,WBGene00006685,WBGene00008877,WBGene00011399,WBGene00007748,,
col-62,nuc-1,WBGene00011495,WBGene00006438,WBGene00009677,WBGene00021772,,
ZK1127.6,asp-2,WBGene00015599,WBGene00005484,WBGene00010593,WBGene00004023,,
F23A7.4,oac-7,WBGene00017166,WBGene00010061,WBGene00016097,WBGene00001477,,
his-42,F54G2.1,WBGene00011420,WBGene00012151,WBGene00002107,WBGene00000214,,
M116.5,clec-5,WBGene00004930,WBGene00019307,WBGene00016686,WBGene00004005,,
F08F1.9,Y16B4A.2,WBGene00012121,WBGene00043537,WBGene00013111,WBGene00002265,,
K06B9.6,C08F1.8,WBGene00014140,WBGene00010960,WBGene00016234,WBGene00009729,,
R08C7.8,T22F3.8,WBGene00016204,WBGene00002169,WBGene00020357,WBGene00019881,,
M02D8.6,C14C11.4,WBGene00016628,WBGene00017584,WBGene00000932,WBGene00000008,,
Y48G1BL.5,K09F6.6,WBGene00015043,WBGene00017001,WBGene00016942,WBGene00003525,,
T09B4.7,gbh-2,WBGene00044201,WBGene00013932,WBGene00000830,WBGene00008564,,
C08E3.1,H14N18.4,WBGene00008332,WBGene00003982,WBGene00008603,WBGene00016728,,
his-18,pho-4,WBGene00013636,WBGene00005150,WBGene00043983,WBGene00009877,,
Y37B11A.3,Y69A2AL.2,WBGene00010065,WBGene00010657,WBGene00016419,WBGene00020456,,
dao-6,ver-2,WBGene00011325,WBGene00020346,WBGene00000103,WBGene00012834,,
T23F11.2,fbxa-74,WBGene00008038,WBGene00016154,WBGene00016987,WBGene00011098,,
C52A10.2,ZK822.4,WBGene00020739,WBGene00018853,WBGene00011584,WBGene00021494,,
col-176,ZC373.1,WBGene00020784,WBGene00017308,WBGene00018102,WBGene00019421,,
C03B8.2,exos-4.2,WBGene00001692,WBGene00018950,WBGene00004225,WBGene00008593,,
Y87G2A.12,F54F11.2,WBGene00011424,WBGene00010621,WBGene00019747,WBGene00013901,,
K01G5.3,lec-11,WBGene00018755,WBGene00008411,WBGene00018874,WBGene00010940,,
F21H7.12,K10D11.6,WBGene00002267,WBGene00007443,WBGene00014001,WBGene00010204,,
his-25,nhr-210,WBGene00006610,WBGene00021537,WBGene00007691,WBGene00011182,,
gpd-1,fasn-1,WBGene00008396,WBGene00003586,WBGene00010658,WBGene00021072,,
ttr-3,fat-1,WBGene00010528,WBGene00017275,WBGene00013840,WBGene00017322,,
act-1,glt-4,WBGene00017089,WBGene00012471,WBGene00022665,WBGene00009395,,
F55A3.7,F40F4.6,WBGene00021379,WBGene00018512,WBGene00001530,WBGene00016064,,
cnc-11,rhr-1,WBGene00007384,WBGene00007627,WBGene00010522,WBGene00011099,,
act-3,B0244.10,WBGene00016875,WBGene00044107,WBGene00022324,WBGene00001774,,
Y48G1BM.6,ifd-1,WBGene00010695,WBGene00002080,WBGene00015230,WBGene00008794,,
phat-3,catp-7,WBGene00016511,WBGene00015007,WBGene00017483,WBGene00019717,,
C14C11.2,W02A2.9,WBGene00019381,WBGene00012253,WBGene00077439,WBGene00014136,,
F09E5.9,D1046.5,WBGene00044697,WBGene00010989,WBGene00015101,WBGene00015759,,
E01A2.10,nhr-6,WBGene00010424,WBGene00004217,WBGene00012140,WBGene00008669,,
ZK899.6,bed-3,WBGene00022546,WBGene00021187,WBGene00008352,WBGene00021121,,
F21H7.2,R10H10.3,WBGene00018459,WBGene00023503,WBGene00015362,WBGene00008425,,
R07E5.15,Y37D8A.4,WBGene00018461,WBGene00043985,WBGene00001491,WBGene00007482,,
Y41E3.22,catp-5,WBGene00006816,WBGene00007871,WBGene00020593,WBGene00001770,,
F07C4.6,C26E1.2,WBGene00001182,WBGene00007874,WBGene00009439,WBGene00022593,,
C55B7.3,pgp-11,WBGene00013220,WBGene00020207,WBGene00018400,WBGene00007836,,
ZC317.7,daao-1,WBGene00016984,WBGene00015582,WBGene00044921,WBGene00044044,,
clec-69,C07E3.9,WBGene00001113,WBGene00011376,WBGene00004062,WBGene00010924,,
srd-39,klp-11,WBGene00012398,WBGene00002024,WBGene00011244,WBGene00004149,,
gpd-4,M60.2,WBGene00006861,WBGene00014999,WBGene00015947,WBGene00004177,,
F26D11.6,C27H5.4,WBGene00016863,WBGene00021470,WBGene00044479,WBGene00017071,,
cyp-25A5,F10A3.4,WBGene00001693,WBGene00013559,WBGene00020364,WBGene00019589,,
F16D3.6,F35C11.5,WBGene00002012,WBGene00001263,WBGene00019472,WBGene00008357,,
Y38C1AB.4,ugt-65,WBGene00012491,WBGene00011638,WBGene00017864,WBGene00009459,,
his-5,F16B4.4,WBGene00010321,WBGene00022044,WBGene00021043,WBGene00019830,,
C04F12.7,T08B1.1,WBGene00003124,WBGene00011348,WBGene00022194,WBGene00017487,,
W02F12.8,B0462.1,WBGene00011692,WBGene00015156,WBGene00022178,WBGene00013074,,
cyp-31A2,aco-1,WBGene00001441,WBGene00045498,WBGene00013078,WBGene00008647,,
F15E6.10,R10E8.6,WBGene00016310,WBGene00001776,WBGene00001439,WBGene00014244,,
Y43F8A.3,F14D7.8,WBGene00020736,WBGene00007412,WBGene00012608,WBGene00001501,,
F21C10.11,F33E2.5,WBGene00020373,WBGene00009347,WBGene00017390,WBGene00022040,,
nspc-17,F40H6.5,WBGene00010018,WBGene00020311,WBGene00018610,WBGene00011800,,
Y61A9LA.4,F55A11.7,WBGene00012886,WBGene00015206,WBGene00007440,WBGene00007533,,
T20D4.13,F55G11.2,WBGene00010368,WBGene00021294,WBGene00002013,WBGene00004789,,
hsp-12.6,cpl-1,WBGene00016849,WBGene00016621,WBGene00009722,WBGene00269434,,
Y48G1BM.1,nhl-2,WBGene00016535,WBGene00011034,WBGene00008592,WBGene00011821,,
Y19D10A.12,C06A6.4,WBGene00007680,WBGene00006442,WBGene00004145,WBGene00012883,,
C53A3.2,F13E6.5,WBGene00020674,WBGene00016421,WBGene00016013,WBGene00016906,,
fbxc-7,F10D7.4,WBGene00021081,WBGene00018371,WBGene00017660,WBGene00020516,,
fbxa-77,far-2,WBGene00022474,WBGene00004493,WBGene00010357,WBGene00001541,,
Y55F3AM.6,ZC374.2,WBGene00011105,WBGene00022689,WBGene00018051,WBGene00017362,,
cst-1,K05F6.10,WBGene00017374,WBGene00019762,WBGene00015918,WBGene00008560,,
nhr-287,B0244.5,WBGene00012444,WBGene00008646,WBGene00019211,WBGene00020699,,
T20F10.4,clh-1,WBGene00005644,WBGene00008486,WBGene00005117,WBGene00019215,,
ZK938.6,F58B4.5,WBGene00020929,WBGene00009885,WBGene00021491,WBGene00006886,,
npl-4.1,Y57G11C.31,WBGene00012585,WBGene00000386,WBGene00022397,WBGene00001858,,
egg-5,F54C1.1,WBGene00000782,WBGene00014042,WBGene00007058,WBGene00014013,,
F15E11.15,srx-2,WBGene00019477,WBGene00016958,WBGene00018334,WBGene00017100,,
Y51H4A.13,mlt-10,WBGene00013971,WBGene00018009,WBGene00015041,WBGene00003707,,
C24A8.6,hmbx-1,WBGene00019203,WBGene00017096,WBGene00017190,WBGene00015509,,
C08F11.3,Y50D4B.4,WBGene00018491,WBGene00011415,WBGene00011931,WBGene00019345,,
F23A7.8,T27F6.8,WBGene00000966,WBGene00017066,WBGene00008415,WBGene00011222,,
fbxb-56,T28D6.7,WBGene00021817,WBGene00050892,WBGene00000983,WBGene00013575,,
W03G9.3,pmp-4,WBGene00015052,WBGene00009758,WBGene00000666,WBGene00010063,,
ins-30,Y40D12A.2,WBGene00008538,WBGene00006382,WBGene00014108,WBGene00008490,,
K07B1.8,clec-160,WBGene00000103,WBGene00000426,WBGene00012381,WBGene00010062,,
pgp-7,sgk-1,WBGene00016283,WBGene00015815,WBGene00009840,WBGene00005758,,
T23E1.2,R09B5.11,WBGene00018057,WBGene00007315,WBGene00010955,WBGene00004358,,
F56A4.3,C33D3.5,WBGene00008032,WBGene00008789,WBGene00021478,WBGene00044797,,
T12D8.5,igcm-3,WBGene00018744,WBGene00017782,WBGene00007990,WBGene00022076,,
F10C1.8,ZK262.3,WBGene00011416,WBGene00008932,WBGene00002163,WBGene00008495,,
ins-33,F49E12.9,WBGene00008607,WBGene00010361,WBGene00016848,WBGene00014175,,
F22G12.1,Y57A10A.14,WBGene00000973,WBGene00007429,WBGene00020891,WBGene00044719,,
duox-2,R09H10.5,WBGene00017789,WBGene00002007,WBGene00011453,WBGene00015593,,
K09B11.4,C01H6.4,WBGene00011052,WBGene00013695,WBGene00019890,WBGene00015601,,
srv-29,C05D12.1,WBGene00022386,WBGene00010421,WBGene00015044,WBGene00010745,,
Y71A12B.10,F08A8.2,WBGene00016013,WBGene00004245,WBGene00219286,WBGene00007808,,
C40H1.9,F36G3.2,WBGene00003588,WBGene00021589,WBGene00001777,WBGene00019546,,
Y37D8A.12,vglu-2,WBGene00007303,WBGene00018498,WBGene00012615,WBGene00019549,,
Y19D10B.4,C17H12.8,WBGene00012668,WBGene00020422,WBGene00019203,WBGene00004058,,
H04M03.3,twk-26,WBGene00005005,WBGene00012922,WBGene00020037,WBGene00021906,,
