Strain,Worm,Rep,Days_Starved,Tp1,Tp2,Tp3,Tp4,Tp5,Tp6,Tp7,Total
daf-16; daf-2,16,9,1,9,116,NA,NA,NA,NA,NA,125
daf-16; daf-2,17,9,1,69,199,29,1,0,0,0,298
daf-16; daf-2,18,9,1,65,183,65,3,0,0,0,316
daf-16,1,9,1,96,200,10,0,0,0,0,306
daf-16,2,9,1,129,178,75,5,0,0,0,387
daf-16,3,9,1,118,176,36,1,0,0,0,331
daf-16,4,9,1,99,172,99,8,0,0,0,378
daf-16,5,9,1,108,167,26,1,0,0,0,302
daf-16,6,9,1,125,165,53,2,0,0,0,345
daf-16,7,9,1,111,186,25,1,0,0,0,323
daf-16,8,9,1,0,2,0,0,0,0,0,2
daf-16,9,9,1,97,53,23,16,11,0,0,200
daf-16,10,9,1,67,119,120,13,0,0,0,319
daf-16,11,9,1,108,139,4,2,0,0,0,253
daf-16,12,9,1,112,146,22,0,0,0,0,280
daf-16,13,9,1,113,176,61,5,0,0,0,355
daf-16,14,9,1,98,155,71,10,0,0,0,334
daf-16,15,9,1,NA,NA,NA,NA,NA,NA,NA,0
daf-16,16,9,1,125,173,8,0,0,0,0,306
daf-16,17,9,1,99,178,47,1,0,0,0,325
daf-16,18,9,1,119,139,36,2,0,0,0,296
WT,1,9,6,73,157,51,0,2,0,0,283
WT,2,9,6,1,39,4,0,0,0,0,44
WT,3,9,6,68,138,48,2,0,0,0,256
WT,4,9,6,31,111,78,46,5,0,0,271
WT,5,9,6,49,143,111,28,2,0,0,333
WT,6,9,6,39,136,76,,0,0,0,251
WT,7,9,6,31,100,98,1,0,0,0,230
WT,8,9,6,44,134,71,8,3,0,0,260
WT,9,9,6,49,120,92,14,1,0,0,276
WT,10,9,6,42,100,106,5,0,0,0,253
WT,11,9,6,35,106,14,2,0,0,0,157
WT,12,9,6,56,132,120,1,2,0,0,311
WT,13,9,6,28,122,92,9,3,0,0,254
WT,14,9,6,55,130,52,4,5,0,0,246
WT,15,9,6,49,139,93,6,1,0,0,288
WT,16,9,6,55,139,19,6,13,0,0,232
WT,17,9,6,45,126,54,13,0,0,0,238
WT,18,9,6,68,156,NA,NA,NA,NA,NA,224
daf-2,1,9,6,0,16,26,0,0,0,0,42
daf-2,2,9,6,0,8,61,47,30,15,6,167
daf-2,3,9,6,0,13,64,55,12,22,32,198
daf-2,4,9,6,0,4,23,9,0,0,0,36
daf-2,5,9,6,0,10,51,64,22,10,10,167
daf-2,6,9,6,0,7,23,12,0,1,0,43
daf-2,7,9,6,0,29,67,62,30,1,1,190
daf-2,8,9,6,0,16,65,56,12,2,1,152
daf-2,9,9,6,0,0,0,0,12,0,0,12
daf-2,10,9,6,0,37,57,50,13,8,3,168
daf-2,11,9,6,0,20,65,55,12,11,2,165
daf-2,12,9,6,0,21,68,53,20,4,2,168
daf-2,13,9,6,0,30,69,62,22,6,6,195
daf-2,14,9,6,0,27,51,55,31,13,13,190
daf-2,15,9,6,0,11,51,55,18,5,2,142
daf-2,16,9,6,0,23,64,66,31,19,8,211
daf-2,17,9,6,0,36,66,69,50,22,11,254
daf-2,18,9,6,0,18,50,65,32,12,7,184
daf-16; daf-2,1,9,6,17,131,92,8,1,0,0,249
daf-16; daf-2,2,9,6,28,147,101,1,0,0,0,277
daf-16; daf-2,3,9,6,16,146,153,9,0,0,0,324
daf-16; daf-2,4,9,6,0,0,0,0,0,0,0,0
daf-16; daf-2,5,9,6,7,122,137,4,0,0,0,270
daf-16; daf-2,6,9,6,27,123,92,2,0,0,0,244
daf-16; daf-2,7,9,6,19,132,123,18,0,0,0,292
daf-16; daf-2,8,9,6,5,120,137,2,2,0,0,266
daf-16; daf-2,9,9,6,11,114,153,19,1,0,0,298
daf-16; daf-2,10,9,6,0,63,90,0,0,0,0,153
daf-16; daf-2,11,9,6,0,80,143,30,0,0,0,253
daf-16; daf-2,12,9,6,13,130,NA,NA,NA,NA,NA,143
daf-16; daf-2,13,9,6,NA,NA,NA,NA,NA,NA,NA,0
daf-16; daf-2,14,9,6,3,130,143,52,2,0,0,330
daf-16; daf-2,15,9,6,4,21,0,0,0,0,0,25
daf-16; daf-2,16,9,6,13,148,159,16,0,0,0,336
daf-16; daf-2,17,9,6,0,0,0,0,0,0,0,0
daf-16; daf-2,18,9,6,15,115,130,4,0,0,0,264
daf-16,1,9,6,0,0,0,0,0,0,0,0
daf-16,2,9,6,2,67,23,40,55,18,0,205
daf-16,3,9,6,33,126,86,23,1,0,0,269
daf-16,4,9,6,33,126,76,5,0,0,0,240
daf-16,5,9,6,34,86,86,21,16,1,0,244
daf-16,6,9,6,37,160,117,2,0,0,0,316
daf-16,7,9,6,16,113,85,58,3,0,0,275
daf-16,8,9,6,39,117,106,8,1,0,0,271
daf-16,9,9,6,33,139,155,10,0,0,0,337
daf-16,10,9,6,NA,NA,NA,NA,NA,NA,NA,0
daf-16,11,9,6,0,28,7,0,0,0,0,35
daf-16,12,9,6,5,80,111,68,6,2,0,272
daf-16,13,9,6,17,25,11,0,0,0,0,53
daf-16,14,9,6,0,0,0,0,0,0,0,0
daf-16,15,9,6,28,110,114,10,0,0,0,262
daf-16,16,9,6,24,65,71,1,0,0,0,161
daf-16,17,9,6,11,100,98,3,3,0,0,215
daf-16,18,9,6,20,83,120,27,10,11,0,271
WT,1,10,1,50,133,104,15,2,0,0,304
WT,2,10,1,45,142,61,9,1,0,0,258
WT,3,10,1,49,133,76,12,1,0,0,271
WT,4,10,1,61,133,57,45,23,5,0,324
WT,5,10,1,50,110,33,1,3,0,0,197
WT,6,10,1,53,143,34,1,3,1,0,235
WT,7,10,1,39,134,60,7,2,0,0,242
WT,8,10,1,54,116,86,35,3,0,0,294
WT,9,10,1,49,125,69,9,3,0,0,255
WT,10,10,1,66,132,17,8,9,0,0,232
WT,11,10,1,59,135,61,0,2,0,0,257
WT,12,10,1,63,154,83,8,0,0,0,308
