Strain,day,replicate,pass,volume,length,middleWidth,meanWidth,surfaceArea,,,,,,,,,,
daf-2,1,7,TRUE,798.0946782,656.4966705,40.02759657,35.5748874,74489.70678,,,,,,,,,,
daf-2,1,7,TRUE,737.5742215,614.5306882,45.50986219,35.70280132,71664.98762,,,,,,,,,,
daf-2,1,7,TRUE,831.1276409,609.2599646,45.50986219,38.88464141,75501.54665,,,,,,,,,,
daf-2,1,7,TRUE,910.1567467,603.5449776,53.77537473,40.49661752,78144.20052,,,,,,,,,,
daf-2,1,7,FALSE,499.50452,512.9937127,43.75882235,31.5030146,53466.74361,,,,,,,,,,
daf-2,1,7,FALSE,47.7240435,73.18417226,43.75882235,18.75378101,7125.928823,,,,,,,,,,
daf-2,1,7,TRUE,639.3574758,599.975084,43.75882235,33.82489218,64901.32598,,,,,,,,,,
daf-2,1,7,TRUE,537.2103102,583.1823765,40.02759657,31.89226309,58550.24506,,,,,,,,,,
daf-2,1,7,FALSE,107.8829576,178.2910413,39.53644181,22.00661858,14459.87213,,,,,,,,,,
daf-2,1,7,FALSE,355.4378652,503.3946905,37.50756201,26.33399278,44049.29849,,,,,,,,,,
daf-2,1,7,FALSE,26.11821463,87.20350303,18.75378101,12.65726986,4869.567113,,,,,,,,,,
daf-2,1,7,FALSE,27.06531734,127.7446853,19.76822091,11.99773898,6134.390503,,,,,,,,,,
daf-2,1,7,FALSE,402.6444537,526.2546384,44.20308574,28.25868231,47961.81315,,,,,,,,,,
daf-2,1,7,FALSE,337.6129705,508.7035259,33.66406716,26.4320456,43967.80372,,,,,,,,,,
daf-2,1,7,FALSE,401.3325692,487.7665397,36.4507983,29.49037646,46959.35469,,,,,,,,,,
daf-2,1,7,TRUE,623.0341617,570.9939975,45.07847935,33.45627394,61736.99748,,,,,,,,,,
daf-2,1,7,TRUE,493.6472404,542.4190626,41.93472916,31.11366977,54808.03009,,,,,,,,,,
daf-2,1,7,TRUE,561.5602986,556.4383934,44.20308574,33.06561641,58617.3798,,,,,,,,,,
daf-2,1,7,TRUE,702.7787073,629.0862923,44.20308574,35.09827413,69857.811,,,,,,,,,,
daf-2,1,7,FALSE,3.071316516,62.42059339,0,4.659414352,1357.648977,,,,,,,,,,
daf-2,1,7,TRUE,907.9398154,631.4535174,56.26134302,39.78611367,79098.40903,,,,,,,,,,
daf-2,1,7,TRUE,851.4380055,628.1438673,50.39927207,38.66132239,76752.63673,,,,,,,,,,
daf-2,1,7,FALSE,467.8026548,466.3313919,38.02493213,31.34243831,48878.2661,,,,,,,,,,
daf-2,1,7,TRUE,670.3741741,583.2743865,44.20308574,34.48234204,66460.8622,,,,,,,,,,
daf-2,1,7,FALSE,562.8086248,563.2259271,45.50986219,32.59468039,59262.36244,,,,,,,,,,
daf-2,1,7,TRUE,836.2390332,573.1390909,61.56777412,39.04533663,73306.20451,,,,,,,,,,
daf-2,1,7,FALSE,254.578022,381.8092556,31.25630168,26.3156686,33035.87844,,,,,,,,,,
daf-2,1,7,FALSE,0,30.72002832,0,0,0,,,,,,,,,,
daf-2,1,7,FALSE,593.2192678,528.3997318,44.20308574,34.42086809,57986.01348,,,,,,,,,,
daf-2,1,7,TRUE,673.266338,597.9220006,37.50756201,34.23375688,67487.15441,,,,,,,,,,
daf-2,1,7,TRUE,502.1595067,572.3806859,44.20308574,29.86917962,56507.49029,,,,,,,,,,
daf-2,1,7,FALSE,617.7137597,529.732522,45.07847935,35.55304643,60612.16098,,,,,,,,,,
daf-2,1,7,TRUE,814.3553867,627.6614921,45.50986219,37.07621305,75740.54007,,,,,,,,,,
daf-2,1,7,TRUE,913.5134653,644.4003015,44.20308574,40.01070526,80901.60261,,,,,,,,,,
daf-2,1,7,FALSE,1861.049201,1077.049511,25.77460666,42.95555796,152428.9,,,,,,,,,,
daf-2,1,7,TRUE,917.6231919,644.4003015,56.60756993,39.36730931,81163.45747,,,,,,,,,,
daf-2,1,7,FALSE,51.48167399,84.30000456,22.53923967,17.01227547,7245.952012,,,,,,,,,,
daf-2,1,7,FALSE,41.55053248,75.23725572,17.6812343,15.68992841,6255.509162,,,,,,,,,,
daf-2,1,7,TRUE,938.3382798,654.8497387,47.60818034,39.32970707,83699.62879,,,,,,,,,,
daf-2,1,7,FALSE,92.04135244,139.4477132,13.97824305,20.06194181,11218.61515,,,,,,,,,,
daf-2,1,7,FALSE,139.2369643,146.0542029,45.07847935,26.74219904,15288.79802,,,,,,,,,,
daf-2,1,7,FALSE,158.8170694,141.3197526,58.97427205,29.02241739,16514.96268,,,,,,,,,,
